Índice: 0, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00000.png
Índice: 1, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00008.png
Índice: 2, Valor CSG: 0.9999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00046.png
Índice: 3, Valor CSG: 0.9998998998998999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00053.png
Índice: 4, Valor CSG: 0.9996996996996997, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00061.png
Índice: 5, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00063.png
Índice: 6, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00068.png
Índice: 7, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00077.png
Índice: 8, Valor CSG: 0.9997995848754365, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00078.png
Índice: 9, Valor CSG: 0.9997995991983968, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00091.png
Índice: 10, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00103.png
Índice: 11, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00106.png
Índice: 12, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00115.png
Índice: 13, Valor CSG: 0.9996993770731152, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00121.png
Índice: 14, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00127.png
Índice: 15, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00143.png
Índice: 16, Valor CSG: 0.9997, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00176.png
Índice: 17, Valor CSG: 0.9998998998998999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00184.png
Índice: 18, Valor CSG: 0.9997993983549082, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00187.png
Índice: 19, Valor CSG: 0.9997997997998206, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00205.png
Índice: 20, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00224.png
Índice: 21, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00245.png
Índice: 22, Valor CSG: 0.9998996990973023, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00251.png
Índice: 23, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00256.png
Índice: 24, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00271.png
Índice: 25, Valor CSG: 0.9998, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00273.png
Índice: 26, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00277.png
Índice: 27, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00279.png
Índice: 28, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00294.png
Índice: 29, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00302.png
Índice: 30, Valor CSG: 0.9986986986986987, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00320.png
Índice: 31, Valor CSG: 0.9985985985985986, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00323.png
Índice: 32, Valor CSG: 0.9996993987975952, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00332.png
Índice: 33, Valor CSG: 0.9997, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00336.png
Índice: 34, Valor CSG: 0.9975951903810111, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00356.png
Índice: 35, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00367.png
Índice: 36, Valor CSG: 0.9998, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00397.png
Índice: 37, Valor CSG: 0.9998995983935743, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00399.png
Índice: 38, Valor CSG: 1.0, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00412.png
Índice: 39, Valor CSG: 0.9999, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00418.png
Índice: 40, Valor CSG: 0.9996996996996997, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00426.png
Índice: 41, Valor CSG: 0.9991983974336005, Nombre del archivo: ..\Datasets\CIFAR-10 dos clases\cat_c_defocus_blur\00432.png
