Class Name,Image Name,Frequency
0_train,42703.png,73
0_train,37921.png,11
0_train,8449.png,10
0_train,1102.png,4
0_train,24444.png,3
0_train,38106.png,3
0_train,51228.png,3
0_train,13830.png,2
0_train,51490.png,2
0_train,246.png,2
1_train,31727.png,87
1_train,21601.png,13
1_train,27793.png,1
1_train,38415.png,1
1_train,29609.png,1
1_train,41956.png,1
1_train,19176.png,1
1_train,12230.png,1
1_train,56071.png,1
1_train,47796.png,1
2_train,27791.png,34
2_train,29967.png,23
2_train,35947.png,17
2_train,55011.png,8
2_train,33930.png,6
2_train,35927.png,5
2_train,32561.png,4
2_train,46001.png,4
2_train,24360.png,3
2_train,32751.png,3
3_train,11693.png,17
3_train,52129.png,13
3_train,2092.png,9
3_train,11545.png,9
3_train,11583.png,7
3_train,12812.png,7
3_train,53570.png,6
3_train,57474.png,6
3_train,14266.png,6
3_train,13713.png,5
4_train,31114.png,29
4_train,6810.png,15
4_train,17576.png,10
4_train,54452.png,9
4_train,40288.png,9
4_train,12922.png,8
4_train,4952.png,6
4_train,55490.png,5
4_train,5936.png,5
4_train,1440.png,5
5_train,34365.png,20
5_train,36774.png,8
5_train,51990.png,8
5_train,53715.png,8
5_train,56813.png,8
5_train,5414.png,7
5_train,47940.png,7
5_train,22783.png,7
5_train,12572.png,5
5_train,42447.png,5
6_train,3136.png,30
6_train,28066.png,15
6_train,53398.png,11
6_train,26511.png,8
6_train,8224.png,6
6_train,35026.png,5
6_train,27812.png,5
6_train,18904.png,5
6_train,55626.png,5
6_train,51354.png,4
7_train,28670.png,22
7_train,16264.png,16
7_train,19534.png,15
7_train,15554.png,14
7_train,5068.png,11
7_train,586.png,4
7_train,46009.png,4
7_train,9235.png,3
7_train,49120.png,3
7_train,46081.png,3
8_train,1120.png,17
8_train,42504.png,17
8_train,10064.png,16
8_train,35232.png,10
8_train,418.png,10
8_train,8761.png,8
8_train,30147.png,5
8_train,10358.png,4
8_train,26471.png,4
8_train,55368.png,3
9_train,2798.png,82
9_train,9876.png,11
9_train,40804.png,3
9_train,48224.png,3
9_train,27226.png,3
9_train,32256.png,2
9_train,600.png,2
9_train,25900.png,2
9_train,58034.png,2
9_train,22246.png,2
