Class Name,Source Image,Target Image,Similarity
0_train,42703.png,24444.png,0.0
0_train,38106.png,42703.png,0.00040358305
0_train,42703.png,28016.png,0.000860095
0_train,37678.png,42703.png,0.0012055039
0_train,38106.png,8449.png,0.0014383197
0_train,42703.png,50344.png,0.0014639497
0_train,19744.png,42703.png,0.0014900565
0_train,42703.png,32575.png,0.0019038916
0_train,12748.png,42703.png,0.002491653
0_train,42703.png,13830.png,0.0025904775
0_train,42703.png,41030.png,0.0028443336
0_train,24444.png,8449.png,0.0030500293
0_train,42703.png,7409.png,0.003156364
0_train,51490.png,42703.png,0.0035051703
0_train,51415.png,42703.png,0.003539145
0_train,1102.png,37921.png,0.0036144257
0_train,42703.png,17122.png,0.0037688017
0_train,42703.png,51866.png,0.0038754344
0_train,42703.png,10372.png,0.0039131045
0_train,12150.png,42703.png,0.0039585233
0_train,51228.png,42703.png,0.004411876
0_train,42703.png,246.png,0.004615307
0_train,26308.png,42703.png,0.0047364235
0_train,42703.png,12764.png,0.004776299
0_train,41696.png,42703.png,0.00488925
0_train,37921.png,23120.png,0.0048912764
0_train,4994.png,42703.png,0.0049650073
0_train,59557.png,42703.png,0.0050521493
0_train,34064.png,42703.png,0.0050839186
0_train,1102.png,8449.png,0.0051014423
0_train,14840.png,42703.png,0.0051544905
0_train,42703.png,51638.png,0.005589485
0_train,39960.png,42703.png,0.005651891
0_train,42703.png,22063.png,0.006071985
0_train,27328.png,42703.png,0.0063334703
0_train,42703.png,2606.png,0.006453216
0_train,7050.png,42703.png,0.006479025
0_train,42703.png,17485.png,0.006566763
0_train,36783.png,24444.png,0.0066188574
0_train,47470.png,42703.png,0.006717205
0_train,50042.png,42703.png,0.007144153
0_train,59653.png,1102.png,0.007313192
0_train,42703.png,18586.png,0.0076078773
0_train,3734.png,59653.png,0.0076258183
0_train,42703.png,29230.png,0.00783366
0_train,17064.png,42703.png,0.00791347
0_train,36783.png,51228.png,0.008073568
0_train,8449.png,3734.png,0.008356452
