Class Name,Source Image,Target Image,Similarity
0_train,42703.png,24444.png,0.0
0_train,28016.png,42703.png,0.000860095
0_train,37678.png,42703.png,0.0012055039
0_train,42703.png,50344.png,0.0014639497
0_train,42703.png,19744.png,0.0014900565
0_train,42703.png,32575.png,0.0019038916
0_train,12748.png,42703.png,0.002491653
0_train,13830.png,42703.png,0.0025904775
0_train,42703.png,41030.png,0.0028443336
0_train,42703.png,24988.png,0.0029333234
0_train,8449.png,24444.png,0.0030500293
0_train,7409.png,42703.png,0.003156364
0_train,42703.png,51490.png,0.0035051703
0_train,42703.png,51415.png,0.003539145
0_train,37921.png,1102.png,0.0036144257
0_train,17122.png,42703.png,0.0037688017
0_train,42703.png,51866.png,0.0038754344
0_train,12150.png,42703.png,0.0039585233
0_train,42703.png,51228.png,0.004411876
0_train,42703.png,246.png,0.004615307
0_train,42703.png,26308.png,0.0047364235
0_train,42703.png,12764.png,0.004776299
0_train,41696.png,42703.png,0.00488925
0_train,23120.png,37921.png,0.0048912764
0_train,42703.png,4994.png,0.0049650073
0_train,59557.png,42703.png,0.0050521493
0_train,34064.png,42703.png,0.0050839186
0_train,1102.png,8449.png,0.0051014423
0_train,14840.png,42703.png,0.0051544905
0_train,51638.png,42703.png,0.005589485
0_train,39960.png,42703.png,0.005651891
0_train,22063.png,42703.png,0.006071985
0_train,27328.png,42703.png,0.0063334703
0_train,2606.png,42703.png,0.006453216
0_train,7050.png,42703.png,0.006479025
0_train,24444.png,36783.png,0.0066188574
0_train,42703.png,47470.png,0.006717205
0_train,50042.png,42703.png,0.007144153
0_train,1102.png,59653.png,0.007313192
0_train,18586.png,42703.png,0.0076078773
0_train,59653.png,3734.png,0.0076258183
0_train,42703.png,29230.png,0.00783366
0_train,17064.png,42703.png,0.00791347
0_train,36783.png,51228.png,0.008073568
0_train,8449.png,3734.png,0.008356452
0_train,13830.png,8449.png,0.008416951
0_train,37921.png,27865.png,0.009240925
0_train,42703.png,26178.png,0.009286761
0_train,42703.png,37619.png,0.009375811
0_train,42703.png,37714.png,0.009488046
0_train,42703.png,21874.png,0.009880424
0_train,8449.png,34014.png,0.010091543
0_train,37921.png,5144.png,0.010246098
0_train,47294.png,42703.png,0.010264277
0_train,42703.png,22306.png,0.010437071
0_train,42703.png,6468.png,0.010726452
0_train,42703.png,39446.png,0.010735571
0_train,21586.png,42703.png,0.011146963
0_train,9440.png,42703.png,0.011304915
0_train,14559.png,42703.png,0.011474609
0_train,3376.png,42703.png,0.011533499
0_train,8449.png,44656.png,0.011536956
0_train,30275.png,42703.png,0.011585653
0_train,42703.png,1590.png,0.011768699
0_train,43602.png,42703.png,0.011819363
0_train,42703.png,28414.png,0.011968315
0_train,38494.png,42703.png,0.011972725
0_train,44656.png,37921.png,0.012195051
0_train,42703.png,22111.png,0.01232183
0_train,23136.png,42703.png,0.012475073
0_train,42703.png,30748.png,0.012498856
0_train,42703.png,40286.png,0.012732744
0_train,31180.png,42703.png,0.012743533
0_train,37921.png,51490.png,0.012779415
0_train,42448.png,8449.png,0.01278621
0_train,16705.png,42703.png,0.012868106
0_train,18896.png,42703.png,0.0129006505
0_train,246.png,37921.png,0.012917638
0_train,19664.png,8449.png,0.013267398
